method,cluster,type,cramer,percent_change,delay,size
cluster_distilbert_default,-1,bertweet_sentiment,0.04334,0,1,2992
cluster_mpnet_default,0,bertweet_sentiment,0.04322,1,1,91
cluster_mpnet_default,0,bertweet_sentiment,0.04322,1.5,1,91
cluster_distilbert_default,-1,bertweet_sentiment,0.04318,0,2,2992
cluster_distilbert_default,1,bertweet_sentiment,0.04312,0,1,164
cluster_use_default,0,distilbert_sentiment,0.04302,0,1,243
cluster_mpnet_default,1,textblob_sentiment,0.04295,1,3,78
cluster_minilm_default,26,textblob_sentiment,0.04281,1.5,1,215
cluster_distilbert_dbcv,1,textblob_sentiment,0.0427,1.5,3,2252
cluster_distilbert_dbcv,1,textblob_sentiment,0.04254,2,3,2252
cluster_mpnet_default,9,bertweet_sentiment,0.04235,2,3,2809
cluster_use_dbcv,1,bertweet_sentiment,0.04231,0.5,1,2496
cluster_mpnet_default,6,bertweet_sentiment,0.04213,0.5,3,74
cluster_use_default,0,textblob_sentiment,0.04187,2,2,243
cluster_use_default,9,bertweet_sentiment,0.04181,1,2,1687
cluster_distilbert_dbcv,1,textblob_sentiment,0.04177,0.5,2,2252
cluster_use_default,10,bertweet_sentiment,0.04162,0,2,89
cluster_distilbert_default,1,textblob_sentiment,0.04148,1,1,164
cluster_mpnet_default,2,textblob_sentiment,0.04148,1.5,3,119
cluster_use_dbcv,1,bertweet_sentiment,0.04147,1,2,2496
cluster_mpnet_dbcv,-1,distilbert_sentiment,0.04131,0,1,851
cluster_distilbert_default,4,distilbert_sentiment,0.04117,0,3,2124
cluster_use_default,5,textblob_sentiment,0.04115,0,1,52
cluster_distilbert_dbcv,1,bertweet_sentiment,0.04105,0.5,2,2252
cluster_minilm_default,31,distilbert_sentiment,0.041,0,2,101
cluster_mpnet_default,5,textblob_sentiment,0.04088,0,2,3167
cluster_minilm_default,7,textblob_sentiment,0.04086,0,3,63
cluster_use_dbcv,1,bertweet_sentiment,0.04075,1.5,2,2496
cluster_distilbert_default,3,bertweet_sentiment,0.04055,0,1,76
cluster_minilm_default,-1,textblob_sentiment,0.04052,0.5,1,3905
cluster_minilm_default,18,textblob_sentiment,0.04035,0,3,111
cluster_use_default,7,distilbert_sentiment,0.04021,0,1,145
cluster_use_default,1,textblob_sentiment,0.04017,2,1,53
cluster_minilm_default,26,bertweet_sentiment,0.04007,0,3,215
cluster_use_default,9,bertweet_sentiment,0.03991,1.5,2,1687
cluster_use_default,10,bertweet_sentiment,0.03977,1.5,1,89
cluster_minilm_default,19,textblob_sentiment,0.03973,1,3,173
cluster_use_dbcv,0,textblob_sentiment,0.0396,1.5,3,1971
cluster_distilbert_dbcv,1,textblob_sentiment,0.03951,1.5,1,2252
cluster_use_dbcv,2,bertweet_sentiment,0.0393,0.5,2,1550
cluster_distilbert_dbcv,0,distilbert_sentiment,0.03919,0,1,2074
cluster_minilm_default,15,textblob_sentiment,0.03918,0,3,152
cluster_mpnet_default,4,bertweet_sentiment,0.03917,0,3,2238
cluster_use_default,9,bertweet_sentiment,0.03916,0.5,2,1687
cluster_use_dbcv,1,bertweet_sentiment,0.03902,1,1,2496
cluster_minilm_dbcv,1,textblob_sentiment,0.03892,0.5,1,89
cluster_distilbert_dbcv,1,textblob_sentiment,0.03858,0,1,2252
cluster_use_dbcv,-1,distilbert_sentiment,0.03849,0,2,5867
cluster_distilbert_default,18,textblob_sentiment,0.03837,0.5,1,94
cluster_minilm_default,22,bertweet_sentiment,0.03815,2,2,83
cluster_distilbert_default,6,textblob_sentiment,0.03811,0.5,1,72
cluster_mpnet_default,3,distilbert_sentiment,0.03795,0,1,56
cluster_use_default,2,bertweet_sentiment,0.03791,0,1,3097
cluster_distilbert_dbcv,1,textblob_sentiment,0.03788,2,1,2252
cluster_distilbert_default,4,distilbert_sentiment,0.03776,0,1,2124
cluster_use_dbcv,-1,distilbert_sentiment,0.03751,0,3,5867
cluster_use_dbcv,1,textblob_sentiment,0.03746,0.5,1,2496
cluster_use_default,10,distilbert_sentiment,0.03742,0,1,89
cluster_minilm_default,3,textblob_sentiment,0.03739,1.5,1,53
cluster_use_dbcv,0,distilbert_sentiment,0.03739,0,3,1971
cluster_use_default,2,bertweet_sentiment,0.03737,0.5,1,3097
cluster_minilm_default,29,textblob_sentiment,0.03709,2,1,61
cluster_use_default,9,bertweet_sentiment,0.03701,0,1,1687
cluster_use_dbcv,0,bertweet_sentiment,0.037,0,2,1971
cluster_mpnet_default,5,textblob_sentiment,0.03696,0,1,3167
cluster_use_default,0,textblob_sentiment,0.03693,0.5,1,243
cluster_distilbert_default,17,bertweet_sentiment,0.03682,1,3,73
cluster_distilbert_default,17,bertweet_sentiment,0.03682,1.5,3,73
cluster_minilm_default,-1,textblob_sentiment,0.03664,1,1,3905
cluster_minilm_default,21,bertweet_sentiment,0.03656,0.5,2,168
cluster_use_dbcv,0,textblob_sentiment,0.0365,1,2,1971
cluster_distilbert_default,4,bertweet_sentiment,0.03643,0,2,2124
cluster_minilm_default,20,textblob_sentiment,0.03641,2,2,97
cluster_minilm_default,19,bertweet_sentiment,0.03639,0,2,173
cluster_mpnet_default,9,textblob_sentiment,0.03633,1,2,2809
cluster_distilbert_default,4,bertweet_sentiment,0.03632,2,2,2124
cluster_minilm_default,26,bertweet_sentiment,0.03632,0.5,3,215
cluster_mpnet_default,5,textblob_sentiment,0.0362,0,3,3167
cluster_minilm_dbcv,-1,distilbert_sentiment,0.03606,0,1,1719
cluster_distilbert_default,8,textblob_sentiment,0.03601,1.5,2,108
cluster_mpnet_default,9,bertweet_sentiment,0.03578,1.5,3,2809
cluster_use_dbcv,0,textblob_sentiment,0.03577,1,3,1971
cluster_minilm_default,30,bertweet_sentiment,0.03574,1.5,1,1520
cluster_use_dbcv,2,bertweet_sentiment,0.03554,1,2,1550
cluster_mpnet_dbcv,0,bertweet_sentiment,0.03543,0,2,189
cluster_mpnet_default,1,textblob_sentiment,0.03524,0,3,78
cluster_mpnet_default,4,textblob_sentiment,0.03524,1,3,2238
cluster_minilm_default,15,textblob_sentiment,0.0352,0.5,3,152
cluster_minilm_default,1,distilbert_sentiment,0.03518,0,1,39
cluster_use_default,2,textblob_sentiment,0.03496,0,1,3097
cluster_mpnet_default,9,bertweet_sentiment,0.03481,1,2,2809
cluster_mpnet_default,4,bertweet_sentiment,0.03468,0,2,2238
cluster_mpnet_default,9,distilbert_sentiment,0.03466,0,1,2809
cluster_minilm_default,10,bertweet_sentiment,0.03453,2,3,66
cluster_minilm_default,10,distilbert_sentiment,0.03446,0,3,66
cluster_minilm_default,34,textblob_sentiment,0.03433,0.5,2,1749
cluster_mpnet_default,-1,textblob_sentiment,0.03427,0.5,3,3146
cluster_distilbert_dbcv,0,bertweet_sentiment,0.03426,0,3,2074
cluster_use_default,-1,textblob_sentiment,0.03399,1,2,3474
cluster_distilbert_default,16,bertweet_sentiment,0.03392,2,2,103
cluster_minilm_default,31,textblob_sentiment,0.0339,1.5,3,101
cluster_use_dbcv,0,bertweet_sentiment,0.0339,0.5,2,1971
cluster_use_default,4,textblob_sentiment,0.03378,0.5,1,96
cluster_mpnet_default,9,bertweet_sentiment,0.03373,1.5,2,2809
cluster_use_dbcv,3,textblob_sentiment,0.03342,0.5,2,327
cluster_use_dbcv,1,bertweet_sentiment,0.03341,0.5,3,2496
cluster_minilm_default,34,textblob_sentiment,0.03295,1.5,2,1749
cluster_distilbert_default,-1,bertweet_sentiment,0.03278,2,2,2992
cluster_distilbert_default,1,distilbert_sentiment,0.03277,0,1,164
cluster_minilm_default,4,bertweet_sentiment,0.03273,0,2,127
cluster_minilm_default,34,textblob_sentiment,0.03273,2,2,1749
cluster_use_default,9,bertweet_sentiment,0.03271,0,3,1687
cluster_use_dbcv,1,bertweet_sentiment,0.03264,1.5,3,2496
cluster_minilm_default,30,bertweet_sentiment,0.03254,1.5,2,1520
cluster_use_default,9,bertweet_sentiment,0.03247,0.5,3,1687
cluster_distilbert_default,4,bertweet_sentiment,0.03244,1.5,2,2124
cluster_minilm_default,30,bertweet_sentiment,0.03237,0.5,1,1520
cluster_mpnet_dbcv,0,bertweet_sentiment,0.03237,0.5,2,189
cluster_use_default,3,textblob_sentiment,0.03231,1,2,150
cluster_distilbert_default,11,bertweet_sentiment,0.03226,2,3,58
cluster_minilm_default,28,bertweet_sentiment,0.03224,0.5,1,2619
cluster_mpnet_default,9,textblob_sentiment,0.03223,1.5,2,2809
cluster_mpnet_default,9,textblob_sentiment,0.03212,0.5,2,2809
cluster_distilbert_dbcv,2,textblob_sentiment,0.03209,0,1,2419
cluster_use_dbcv,1,textblob_sentiment,0.03207,0.5,2,2496
cluster_distilbert_dbcv,0,bertweet_sentiment,0.03204,2,3,2074
cluster_minilm_default,34,bertweet_sentiment,0.03182,0.5,1,1749
cluster_use_dbcv,0,bertweet_sentiment,0.03177,1.5,3,1971
cluster_minilm_default,15,textblob_sentiment,0.03174,1.5,2,152
cluster_mpnet_default,-1,textblob_sentiment,0.03162,1,2,3146
cluster_distilbert_default,2,bertweet_sentiment,0.03148,0,3,87
cluster_mpnet_dbcv,-1,distilbert_sentiment,0.03146,0,2,851
cluster_use_default,-1,textblob_sentiment,0.03137,1,1,3474
cluster_minilm_default,34,distilbert_sentiment,0.03128,0,1,1749
cluster_distilbert_dbcv,-1,textblob_sentiment,0.03124,1,3,5466
cluster_use_dbcv,1,bertweet_sentiment,0.03112,1.5,1,2496
cluster_use_default,3,textblob_sentiment,0.03104,2,3,150
cluster_use_dbcv,2,bertweet_sentiment,0.03102,1.5,2,1550
cluster_mpnet_default,-1,textblob_sentiment,0.03091,2,3,3146
cluster_minilm_default,28,bertweet_sentiment,0.0309,1.5,1,2619
cluster_use_dbcv,-1,distilbert_sentiment,0.03082,0,1,5867
cluster_minilm_default,21,textblob_sentiment,0.03081,0,2,168
cluster_distilbert_dbcv,2,bertweet_sentiment,0.03073,0.5,1,2419
cluster_distilbert_dbcv,-1,textblob_sentiment,0.03067,0.5,3,5466
cluster_use_dbcv,0,bertweet_sentiment,0.03055,1.5,2,1971
cluster_use_dbcv,2,bertweet_sentiment,0.03053,2,3,1550
cluster_use_dbcv,0,bertweet_sentiment,0.03033,1,2,1971
cluster_mpnet_default,9,bertweet_sentiment,0.03022,1,3,2809
cluster_distilbert_default,21,textblob_sentiment,0.03004,0,2,2075
cluster_minilm_default,34,bertweet_sentiment,0.02997,1.5,2,1749
cluster_use_dbcv,2,textblob_sentiment,0.02977,0.5,1,1550
cluster_minilm_default,34,bertweet_sentiment,0.02976,0,1,1749
cluster_use_default,4,distilbert_sentiment,0.02976,0,2,96
cluster_use_dbcv,0,bertweet_sentiment,0.02968,1,3,1971
cluster_distilbert_dbcv,1,bertweet_sentiment,0.02961,2,1,2252
cluster_distilbert_dbcv,0,bertweet_sentiment,0.02961,1,1,2074
cluster_mpnet_default,-1,textblob_sentiment,0.02945,1.5,3,3146
cluster_distilbert_dbcv,0,bertweet_sentiment,0.02926,1.5,3,2074
cluster_use_dbcv,1,bertweet_sentiment,0.02924,0,1,2496
cluster_mpnet_default,4,textblob_sentiment,0.02921,1.5,3,2238
cluster_minilm_default,26,bertweet_sentiment,0.02909,2,3,215
cluster_mpnet_default,3,textblob_sentiment,0.02903,0.5,3,56
cluster_mpnet_default,4,textblob_sentiment,0.02901,2,3,2238
cluster_distilbert_dbcv,-1,textblob_sentiment,0.02899,1.5,3,5466
cluster_distilbert_dbcv,-1,distilbert_sentiment,0.02896,0,2,5466
cluster_mpnet_dbcv,-1,textblob_sentiment,0.02895,0,3,851
cluster_distilbert_default,-1,textblob_sentiment,0.02889,1,2,2992
cluster_use_default,2,textblob_sentiment,0.02889,0,3,3097
cluster_mpnet_default,7,textblob_sentiment,0.02889,0,3,215
cluster_use_default,-1,distilbert_sentiment,0.02883,0,2,3474
cluster_use_default,2,textblob_sentiment,0.0288,0.5,1,3097
cluster_mpnet_default,4,bertweet_sentiment,0.0288,1,2,2238
cluster_use_dbcv,-1,bertweet_sentiment,0.0287,1,3,5867
cluster_use_dbcv,1,textblob_sentiment,0.02864,0,3,2496
cluster_minilm_default,30,bertweet_sentiment,0.0285,0,3,1520
cluster_minilm_default,34,textblob_sentiment,0.02845,1,2,1749
cluster_use_default,9,bertweet_sentiment,0.02844,2,2,1687
cluster_mpnet_default,7,textblob_sentiment,0.0283,1.5,3,215
cluster_minilm_default,34,textblob_sentiment,0.02827,0,2,1749
cluster_minilm_default,34,bertweet_sentiment,0.02784,2,1,1749
cluster_minilm_default,22,bertweet_sentiment,0.02742,0,2,83
cluster_minilm_default,34,bertweet_sentiment,0.02741,0.5,2,1749
cluster_mpnet_default,-1,textblob_sentiment,0.02739,1.5,2,3146
cluster_mpnet_default,5,distilbert_sentiment,0.02738,0,2,3167
cluster_use_dbcv,1,bertweet_sentiment,0.0273,1,3,2496
cluster_distilbert_dbcv,-1,textblob_sentiment,0.02725,0.5,2,5466
cluster_mpnet_default,4,bertweet_sentiment,0.02724,2,3,2238
cluster_mpnet_default,9,bertweet_sentiment,0.02717,2,2,2809
cluster_use_dbcv,0,bertweet_sentiment,0.02714,2,2,1971
cluster_mpnet_dbcv,-1,bertweet_sentiment,0.027,1.5,1,851
cluster_distilbert_default,15,bertweet_sentiment,0.02693,1,2,257
cluster_distilbert_default,21,distilbert_sentiment,0.02688,0,2,2075
cluster_mpnet_default,8,textblob_sentiment,0.02688,2,3,218
cluster_mpnet_dbcv,0,bertweet_sentiment,0.02683,1,2,189
cluster_mpnet_default,9,textblob_sentiment,0.02671,2,2,2809
cluster_mpnet_default,5,textblob_sentiment,0.02665,0.5,2,3167
cluster_distilbert_dbcv,1,bertweet_sentiment,0.02642,1,3,2252
cluster_minilm_default,26,textblob_sentiment,0.02615,2,1,215
cluster_distilbert_default,21,bertweet_sentiment,0.02614,1.5,3,2075
cluster_minilm_default,12,textblob_sentiment,0.0261,0,2,65
cluster_mpnet_default,9,bertweet_sentiment,0.02594,1,1,2809
cluster_minilm_default,34,bertweet_sentiment,0.02576,1.5,1,1749
cluster_mpnet_default,4,bertweet_sentiment,0.02576,1.5,3,2238
cluster_minilm_dbcv,0,bertweet_sentiment,0.02576,0,1,10403
cluster_distilbert_default,4,bertweet_sentiment,0.02566,2,3,2124
cluster_distilbert_default,-1,bertweet_sentiment,0.02566,1.5,2,2992
cluster_distilbert_default,4,bertweet_sentiment,0.02562,1.5,3,2124
cluster_distilbert_default,18,textblob_sentiment,0.02546,1,1,94
cluster_minilm_default,-1,textblob_sentiment,0.02545,1.5,1,3905
cluster_mpnet_dbcv,1,distilbert_sentiment,0.02523,0,2,11037
cluster_mpnet_default,4,textblob_sentiment,0.0252,2,2,2238
cluster_use_default,2,textblob_sentiment,0.0252,0,2,3097
cluster_minilm_dbcv,0,distilbert_sentiment,0.02515,0,2,10403
cluster_use_default,2,bertweet_sentiment,0.02513,0.5,2,3097
cluster_minilm_dbcv,-1,distilbert_sentiment,0.02507,0,3,1719
cluster_mpnet_default,9,distilbert_sentiment,0.02497,0,2,2809
cluster_use_dbcv,2,textblob_sentiment,0.02495,1,1,1550
cluster_distilbert_default,4,textblob_sentiment,0.02494,2,2,2124
cluster_mpnet_default,-1,textblob_sentiment,0.02489,0.5,2,3146
cluster_distilbert_default,18,textblob_sentiment,0.02472,0.5,2,94
cluster_minilm_default,2,textblob_sentiment,0.02463,1,3,65
cluster_minilm_default,2,textblob_sentiment,0.02463,0.5,3,65
cluster_use_dbcv,-1,bertweet_sentiment,0.02453,2,3,5867
cluster_minilm_default,-1,textblob_sentiment,0.02453,0.5,2,3905
cluster_minilm_default,34,bertweet_sentiment,0.02451,1,2,1749
cluster_distilbert_default,-1,bertweet_sentiment,0.02444,1.5,1,2992
cluster_distilbert_default,-1,bertweet_sentiment,0.02439,2,3,2992
cluster_use_default,9,bertweet_sentiment,0.02438,1.5,3,1687
cluster_minilm_default,30,bertweet_sentiment,0.02436,2,2,1520
cluster_use_default,6,distilbert_sentiment,0.02434,0,1,3017
cluster_mpnet_default,9,textblob_sentiment,0.02428,2,1,2809
cluster_distilbert_dbcv,1,textblob_sentiment,0.02422,0,2,2252
cluster_distilbert_dbcv,0,bertweet_sentiment,0.02409,2,2,2074
cluster_mpnet_default,4,bertweet_sentiment,0.02407,1.5,2,2238
cluster_mpnet_default,1,textblob_sentiment,0.02392,1.5,3,78
cluster_minilm_dbcv,0,bertweet_sentiment,0.02388,0,2,10403
cluster_distilbert_dbcv,0,bertweet_sentiment,0.02387,0.5,1,2074
cluster_minilm_default,-1,distilbert_sentiment,0.02384,0,3,3905
cluster_minilm_default,26,distilbert_sentiment,0.02383,0,3,215
cluster_minilm_default,11,textblob_sentiment,0.02381,0.5,2,56
cluster_minilm_default,28,bertweet_sentiment,0.02379,0.5,2,2619
cluster_mpnet_dbcv,1,distilbert_sentiment,0.02375,0,3,11037
cluster_minilm_default,28,bertweet_sentiment,0.02372,2,1,2619
cluster_minilm_dbcv,0,bertweet_sentiment,0.02368,1,3,10403
cluster_distilbert_default,4,bertweet_sentiment,0.02366,1,2,2124
cluster_use_default,0,bertweet_sentiment,0.02362,1,2,243
cluster_minilm_dbcv,0,bertweet_sentiment,0.0236,1,2,10403
cluster_minilm_default,34,textblob_sentiment,0.02358,1,1,1749
cluster_minilm_default,34,bertweet_sentiment,0.02356,2,2,1749
cluster_minilm_dbcv,-1,textblob_sentiment,0.02337,2,3,1719
cluster_distilbert_dbcv,-1,distilbert_sentiment,0.0233,0,1,5466
cluster_distilbert_dbcv,1,bertweet_sentiment,0.02323,0.5,3,2252
cluster_mpnet_default,4,bertweet_sentiment,0.02313,1,3,2238
cluster_distilbert_default,21,bertweet_sentiment,0.02311,1,3,2075
cluster_minilm_default,-1,bertweet_sentiment,0.02307,2,3,3905
cluster_use_default,-1,textblob_sentiment,0.02306,0.5,2,3474
cluster_minilm_default,-1,textblob_sentiment,0.02304,0.5,3,3905
cluster_use_dbcv,-1,bertweet_sentiment,0.02303,2,1,5867
cluster_use_default,9,bertweet_sentiment,0.02302,1,1,1687
cluster_mpnet_default,9,distilbert_sentiment,0.02299,0,3,2809
cluster_mpnet_default,9,textblob_sentiment,0.02298,1,1,2809
cluster_mpnet_default,9,bertweet_sentiment,0.02298,0.5,2,2809
cluster_distilbert_default,-1,bertweet_sentiment,0.02292,1,2,2992
cluster_use_default,9,textblob_sentiment,0.02289,1.5,3,1687
cluster_mpnet_default,4,bertweet_sentiment,0.02286,2,2,2238
cluster_mpnet_default,5,bertweet_sentiment,0.02281,0,1,3167
cluster_minilm_dbcv,0,bertweet_sentiment,0.02274,1.5,2,10403
cluster_minilm_default,28,textblob_sentiment,0.02263,1.5,2,2619
cluster_minilm_dbcv,0,distilbert_sentiment,0.02258,0,3,10403
cluster_use_default,4,textblob_sentiment,0.02257,2,2,96
cluster_minilm_dbcv,-1,distilbert_sentiment,0.02247,0,2,1719
cluster_mpnet_dbcv,2,bertweet_sentiment,0.02243,1,2,134
cluster_distilbert_default,-1,bertweet_sentiment,0.02236,0.5,2,2992
cluster_use_default,-1,bertweet_sentiment,0.0223,1,2,3474
cluster_minilm_default,28,bertweet_sentiment,0.02222,2,2,2619
cluster_minilm_dbcv,0,bertweet_sentiment,0.02217,2,2,10403
cluster_use_dbcv,-1,bertweet_sentiment,0.02216,1,1,5867
cluster_minilm_default,28,bertweet_sentiment,0.02208,1.5,2,2619
cluster_minilm_default,19,textblob_sentiment,0.02205,0.5,3,173
cluster_minilm_default,34,bertweet_sentiment,0.02204,1,1,1749
cluster_mpnet_default,5,bertweet_sentiment,0.02201,0.5,2,3167
cluster_minilm_default,30,bertweet_sentiment,0.022,1,2,1520
cluster_minilm_default,-1,textblob_sentiment,0.02195,1,2,3905
cluster_minilm_dbcv,-1,textblob_sentiment,0.02195,0.5,3,1719
cluster_distilbert_default,4,textblob_sentiment,0.02163,0,3,2124
cluster_use_dbcv,0,bertweet_sentiment,0.02161,0.5,3,1971
cluster_distilbert_default,4,textblob_sentiment,0.02154,0,2,2124
cluster_minilm_dbcv,-1,textblob_sentiment,0.02145,0.5,2,1719
cluster_use_dbcv,-1,bertweet_sentiment,0.02141,0.5,3,5867
cluster_mpnet_default,9,textblob_sentiment,0.02131,1.5,1,2809
cluster_minilm_dbcv,0,bertweet_sentiment,0.0213,0.5,3,10403
cluster_use_dbcv,0,textblob_sentiment,0.02129,2,1,1971
cluster_distilbert_dbcv,-1,distilbert_sentiment,0.02119,0,3,5466
cluster_distilbert_dbcv,0,bertweet_sentiment,0.02111,1.5,2,2074
cluster_use_default,2,bertweet_sentiment,0.0211,1.5,1,3097
cluster_distilbert_dbcv,-1,textblob_sentiment,0.0211,1,2,5466
cluster_mpnet_default,9,textblob_sentiment,0.02095,2,3,2809
cluster_distilbert_dbcv,-1,textblob_sentiment,0.02089,2,3,5466
cluster_minilm_default,4,textblob_sentiment,0.02086,1,1,127
cluster_mpnet_default,9,textblob_sentiment,0.02078,0.5,3,2809
cluster_distilbert_default,-1,bertweet_sentiment,0.02075,2,1,2992
cluster_distilbert_default,-1,textblob_sentiment,0.02074,2,2,2992
cluster_use_default,-1,bertweet_sentiment,0.02073,2,1,3474
cluster_use_dbcv,-1,bertweet_sentiment,0.0207,0,1,5867
cluster_mpnet_dbcv,2,bertweet_sentiment,0.02064,0.5,2,134
cluster_distilbert_dbcv,-1,bertweet_sentiment,0.0206,0,3,5466
cluster_mpnet_default,5,bertweet_sentiment,0.02051,0.5,1,3167
cluster_use_dbcv,-1,bertweet_sentiment,0.0205,1.5,3,5867
cluster_minilm_default,-1,bertweet_sentiment,0.02042,1.5,3,3905
cluster_minilm_default,7,bertweet_sentiment,0.02036,0,3,63
cluster_distilbert_dbcv,0,bertweet_sentiment,0.02032,1,2,2074
cluster_mpnet_dbcv,1,bertweet_sentiment,0.02017,0,1,11037
cluster_mpnet_default,9,textblob_sentiment,0.02017,0,3,2809
cluster_minilm_dbcv,0,bertweet_sentiment,0.02011,1.5,1,10403
cluster_use_dbcv,0,bertweet_sentiment,0.0201,2,3,1971
cluster_mpnet_default,5,bertweet_sentiment,0.0201,1,2,3167
cluster_minilm_dbcv,0,bertweet_sentiment,0.02007,1,1,10403
cluster_minilm_default,34,textblob_sentiment,0.02007,0.5,1,1749
cluster_use_default,-1,textblob_sentiment,0.02,1,3,3474
cluster_distilbert_default,4,textblob_sentiment,0.01997,1.5,3,2124
cluster_distilbert_default,21,bertweet_sentiment,0.01997,2,3,2075
cluster_distilbert_dbcv,2,bertweet_sentiment,0.01995,0,1,2419
cluster_minilm_default,34,textblob_sentiment,0.01995,2,1,1749
cluster_minilm_default,15,bertweet_sentiment,0.01985,1,2,152
cluster_minilm_default,34,textblob_sentiment,0.0198,2,3,1749
cluster_use_default,9,bertweet_sentiment,0.01976,1.5,1,1687
cluster_distilbert_default,21,distilbert_sentiment,0.01969,0,3,2075
cluster_minilm_default,34,textblob_sentiment,0.01967,1.5,3,1749
cluster_use_dbcv,1,textblob_sentiment,0.01965,1,1,2496
cluster_use_dbcv,0,textblob_sentiment,0.01964,1.5,2,1971
cluster_minilm_dbcv,-1,textblob_sentiment,0.0196,1,3,1719
cluster_minilm_default,30,bertweet_sentiment,0.01958,1,1,1520
cluster_use_default,-1,textblob_sentiment,0.01958,2,2,3474
cluster_distilbert_dbcv,1,bertweet_sentiment,0.01947,0,1,2252
cluster_use_default,9,distilbert_sentiment,0.01946,0,3,1687
cluster_use_dbcv,1,textblob_sentiment,0.01944,1.5,1,2496
cluster_distilbert_default,4,textblob_sentiment,0.01943,2,3,2124
cluster_minilm_dbcv,0,bertweet_sentiment,0.01943,0.5,2,10403
cluster_use_dbcv,3,textblob_sentiment,0.01941,0.5,3,327
cluster_use_dbcv,0,textblob_sentiment,0.01936,2,3,1971
cluster_mpnet_dbcv,-1,bertweet_sentiment,0.01934,1,1,851
cluster_minilm_default,28,textblob_sentiment,0.01927,0,3,2619
cluster_minilm_default,7,textblob_sentiment,0.01916,2,2,63
cluster_minilm_default,-1,distilbert_sentiment,0.01909,0,1,3905
cluster_minilm_default,-1,bertweet_sentiment,0.01899,1.5,2,3905
cluster_distilbert_default,-1,bertweet_sentiment,0.01897,1.5,3,2992
cluster_mpnet_default,-1,textblob_sentiment,0.01896,1.5,1,3146
cluster_distilbert_default,10,bertweet_sentiment,0.01896,1,2,3182
cluster_use_default,3,bertweet_sentiment,0.01895,1.5,2,150
cluster_distilbert_default,4,bertweet_sentiment,0.01891,0.5,3,2124
cluster_use_dbcv,-1,bertweet_sentiment,0.01877,0,3,5867
cluster_minilm_dbcv,0,bertweet_sentiment,0.01874,1.5,3,10403
cluster_distilbert_default,19,textblob_sentiment,0.01871,0.5,2,163
cluster_use_dbcv,-1,bertweet_sentiment,0.01868,1,2,5867
cluster_distilbert_default,-1,textblob_sentiment,0.01861,1.5,2,2992
cluster_use_default,-1,bertweet_sentiment,0.01858,0.5,2,3474
cluster_minilm_dbcv,0,bertweet_sentiment,0.0185,2,3,10403
cluster_distilbert_default,10,textblob_sentiment,0.01844,1,2,3182
cluster_minilm_default,-1,bertweet_sentiment,0.01843,1,2,3905
cluster_minilm_dbcv,0,textblob_sentiment,0.01833,1,1,10403
cluster_minilm_default,30,distilbert_sentiment,0.0183,0,2,1520
cluster_minilm_default,29,textblob_sentiment,0.01822,0,3,61
cluster_mpnet_dbcv,1,distilbert_sentiment,0.01819,0,1,11037
cluster_distilbert_dbcv,-1,textblob_sentiment,0.01818,0,3,5466
cluster_use_dbcv,-1,bertweet_sentiment,0.01815,0.5,1,5867
cluster_minilm_dbcv,0,textblob_sentiment,0.0181,1,3,10403
cluster_mpnet_default,-1,bertweet_sentiment,0.01805,1,1,3146
cluster_minilm_dbcv,0,bertweet_sentiment,0.01795,0.5,1,10403
cluster_mpnet_default,9,textblob_sentiment,0.0178,1,3,2809
cluster_mpnet_dbcv,1,bertweet_sentiment,0.01778,1,3,11037
cluster_distilbert_default,10,textblob_sentiment,0.01772,0,2,3182
cluster_minilm_default,19,textblob_sentiment,0.0177,1.5,3,173
cluster_distilbert_default,10,bertweet_sentiment,0.01769,0.5,1,3182
cluster_minilm_dbcv,0,bertweet_sentiment,0.01745,2,1,10403
cluster_mpnet_default,5,distilbert_sentiment,0.01738,0,1,3167
cluster_minilm_default,28,textblob_sentiment,0.01738,2,2,2619
cluster_minilm_default,32,textblob_sentiment,0.01732,0.5,3,62
cluster_use_dbcv,-1,textblob_sentiment,0.0173,1,2,5867
cluster_distilbert_default,-1,bertweet_sentiment,0.01726,0.5,1,2992
cluster_use_default,9,bertweet_sentiment,0.01724,1,3,1687
cluster_mpnet_dbcv,1,textblob_sentiment,0.01717,0,1,11037
cluster_mpnet_dbcv,0,bertweet_sentiment,0.01703,1.5,2,189
cluster_use_dbcv,2,bertweet_sentiment,0.01697,2,2,1550
cluster_mpnet_default,-1,textblob_sentiment,0.01693,1,1,3146
cluster_distilbert_default,4,textblob_sentiment,0.01692,1,3,2124
cluster_minilm_dbcv,-1,textblob_sentiment,0.01689,1.5,3,1719
cluster_use_default,-1,distilbert_sentiment,0.01682,0,1,3474
cluster_minilm_dbcv,0,distilbert_sentiment,0.01682,0,1,10403
cluster_use_dbcv,1,textblob_sentiment,0.01679,0.5,3,2496
cluster_use_default,-1,textblob_sentiment,0.01666,0.5,1,3474
cluster_mpnet_dbcv,1,textblob_sentiment,0.01662,1,2,11037
cluster_use_default,-1,bertweet_sentiment,0.0166,1.5,3,3474
cluster_distilbert_dbcv,2,bertweet_sentiment,0.01659,1,2,2419
cluster_use_dbcv,1,bertweet_sentiment,0.0165,2,2,2496
cluster_minilm_default,28,bertweet_sentiment,0.01633,1,2,2619
cluster_distilbert_dbcv,1,textblob_sentiment,0.01627,0,3,2252
