method,cluster,type,cramer,percent_change,delay,size
cluster_distilbert_default,7,bertweet_sentiment,0.20637,0,2,32
cluster_use_default,5,textblob_sentiment,0.20556,1.5,3,52
cluster_use_default,8,textblob_sentiment,0.20556,0,3,108
cluster_use_default,5,textblob_sentiment,0.20556,1,3,52
cluster_minilm_default,25,bertweet_sentiment,0.20374,1.5,3,70
cluster_use_default,5,textblob_sentiment,0.20223,2,3,52
cluster_use_default,7,textblob_sentiment,0.20182,0.5,1,145
cluster_minilm_default,14,distilbert_sentiment,0.20179,0,1,46
cluster_use_default,4,bertweet_sentiment,0.20059,2,2,96
cluster_use_default,3,bertweet_sentiment,0.19989,0,3,150
cluster_distilbert_default,7,textblob_sentiment,0.19953,1.5,1,32
cluster_distilbert_default,7,textblob_sentiment,0.19953,2,1,32
cluster_minilm_default,23,textblob_sentiment,0.19932,2,1,59
cluster_distilbert_default,20,bertweet_sentiment,0.19888,2,1,91
cluster_mpnet_default,1,bertweet_sentiment,0.1983,1.5,3,78
cluster_distilbert_default,9,bertweet_sentiment,0.19798,0.5,2,34
cluster_distilbert_default,9,bertweet_sentiment,0.19798,1,2,34
cluster_minilm_default,7,bertweet_sentiment,0.19774,1.5,1,63
cluster_minilm_default,7,bertweet_sentiment,0.19774,2,1,63
cluster_minilm_default,7,bertweet_sentiment,0.19774,1,1,63
cluster_minilm_default,14,bertweet_sentiment,0.19678,1,1,46
cluster_minilm_default,14,bertweet_sentiment,0.19678,0.5,1,46
cluster_distilbert_default,17,bertweet_sentiment,0.19393,0.5,1,73
cluster_minilm_default,0,textblob_sentiment,0.19374,0,2,40
cluster_use_default,10,textblob_sentiment,0.19373,1.5,3,89
cluster_distilbert_default,14,textblob_sentiment,0.19364,1.5,1,39
cluster_distilbert_default,14,textblob_sentiment,0.19364,1,1,39
cluster_use_default,7,textblob_sentiment,0.1935,1,1,145
cluster_use_default,3,distilbert_sentiment,0.19239,0,2,150
cluster_minilm_default,5,textblob_sentiment,0.19174,0,2,37
cluster_minilm_default,22,textblob_sentiment,0.19169,1,2,83
cluster_mpnet_default,1,bertweet_sentiment,0.19148,0,3,78
cluster_minilm_default,3,textblob_sentiment,0.19133,1,3,53
cluster_minilm_default,25,bertweet_sentiment,0.19108,0,3,70
cluster_minilm_default,2,textblob_sentiment,0.19096,1,2,65
cluster_mpnet_default,3,textblob_sentiment,0.19065,2,3,56
cluster_mpnet_default,3,textblob_sentiment,0.19065,1.5,3,56
cluster_distilbert_default,0,textblob_sentiment,0.19038,2,3,65
cluster_minilm_default,17,textblob_sentiment,0.1901,0,2,44
cluster_minilm_default,16,textblob_sentiment,0.18997,2,3,33
cluster_distilbert_default,22,textblob_sentiment,0.18948,0.5,2,91
cluster_distilbert_default,16,bertweet_sentiment,0.18922,0.5,3,103
cluster_minilm_default,10,distilbert_sentiment,0.1892,0,2,66
cluster_distilbert_default,20,bertweet_sentiment,0.18843,1.5,1,91
cluster_distilbert_default,0,bertweet_sentiment,0.18834,1.5,2,65
cluster_distilbert_default,22,textblob_sentiment,0.18703,1,1,91
cluster_minilm_default,0,bertweet_sentiment,0.18689,0,2,40
cluster_distilbert_default,6,textblob_sentiment,0.18667,1.5,2,72
cluster_distilbert_default,6,textblob_sentiment,0.18667,2,2,72
cluster_minilm_default,7,textblob_sentiment,0.18581,1.5,1,63
cluster_minilm_default,7,textblob_sentiment,0.18581,2,1,63
cluster_minilm_default,7,textblob_sentiment,0.18581,1,1,63
cluster_minilm_default,18,textblob_sentiment,0.1854,2,2,111
cluster_minilm_default,5,textblob_sentiment,0.18535,2,3,37
cluster_minilm_default,29,textblob_sentiment,0.18491,1.5,1,61
cluster_use_default,4,bertweet_sentiment,0.18469,1.5,2,96
cluster_distilbert_default,17,bertweet_sentiment,0.18452,0,1,73
cluster_minilm_default,13,textblob_sentiment,0.1834,1,1,49
cluster_minilm_default,0,textblob_sentiment,0.18281,2,3,40
cluster_minilm_default,18,textblob_sentiment,0.18247,1.5,1,111
cluster_mpnet_default,1,bertweet_sentiment,0.18234,1,3,78
cluster_minilm_default,2,textblob_sentiment,0.18224,0.5,2,65
cluster_distilbert_default,8,bertweet_sentiment,0.18084,0,3,108
cluster_minilm_default,4,textblob_sentiment,0.18084,0,3,127
cluster_minilm_default,25,bertweet_sentiment,0.18054,1.5,1,70
cluster_minilm_default,12,distilbert_sentiment,0.18004,0,2,65
cluster_minilm_default,2,textblob_sentiment,0.17969,2,2,65
cluster_distilbert_default,0,textblob_sentiment,0.17955,1.5,3,65
cluster_minilm_default,14,textblob_sentiment,0.17839,0.5,3,46
cluster_minilm_default,13,textblob_sentiment,0.17816,2,2,49
cluster_distilbert_default,12,textblob_sentiment,0.17778,0,1,64
cluster_minilm_default,18,textblob_sentiment,0.17688,1,2,111
cluster_minilm_default,25,bertweet_sentiment,0.17668,2,1,70
cluster_use_default,8,textblob_sentiment,0.1761,1,3,108
cluster_minilm_default,11,textblob_sentiment,0.1761,2,1,56
cluster_minilm_default,2,textblob_sentiment,0.17595,0,2,65
cluster_minilm_default,5,textblob_sentiment,0.17455,1,2,37
cluster_use_default,5,bertweet_sentiment,0.17436,0.5,3,52
cluster_minilm_default,25,bertweet_sentiment,0.17358,2,2,70
cluster_distilbert_default,6,textblob_sentiment,0.17318,1,2,72
cluster_distilbert_default,8,bertweet_sentiment,0.17305,0,1,108
cluster_distilbert_default,13,bertweet_sentiment,0.17224,0.5,2,78
cluster_minilm_default,18,textblob_sentiment,0.17158,1.5,2,111
cluster_minilm_default,18,textblob_sentiment,0.17156,1.5,3,111
cluster_minilm_default,24,bertweet_sentiment,0.17109,2,3,41
cluster_use_default,7,textblob_sentiment,0.17081,1.5,1,145
cluster_distilbert_default,3,textblob_sentiment,0.17061,0,1,76
cluster_distilbert_default,12,textblob_sentiment,0.17029,0.5,2,64
cluster_use_default,4,textblob_sentiment,0.16999,1,2,96
cluster_distilbert_default,17,bertweet_sentiment,0.16963,0.5,3,73
cluster_minilm_default,22,textblob_sentiment,0.16957,1.5,2,83
cluster_minilm_default,32,bertweet_sentiment,0.16949,1,1,62
cluster_use_default,4,bertweet_sentiment,0.16935,1,2,96
cluster_distilbert_default,17,textblob_sentiment,0.16886,2,1,73
cluster_distilbert_default,6,textblob_sentiment,0.16854,0.5,2,72
cluster_minilm_default,11,distilbert_sentiment,0.16721,0,3,56
cluster_distilbert_default,12,textblob_sentiment,0.16562,0.5,1,64
cluster_minilm_default,3,textblob_sentiment,0.16462,0.5,3,53
cluster_distilbert_default,9,textblob_sentiment,0.16412,0.5,1,34
cluster_distilbert_default,9,textblob_sentiment,0.16412,1,1,34
cluster_minilm_default,13,textblob_sentiment,0.16372,1,2,49
cluster_minilm_default,18,textblob_sentiment,0.16369,0.5,1,111
cluster_use_default,7,textblob_sentiment,0.16292,0,1,145
cluster_distilbert_default,0,bertweet_sentiment,0.16207,1,3,65
cluster_minilm_default,12,distilbert_sentiment,0.16118,0,3,65
cluster_minilm_default,11,textblob_sentiment,0.16115,0.5,1,56
cluster_minilm_default,5,textblob_sentiment,0.16113,1,1,37
cluster_distilbert_default,0,textblob_sentiment,0.16073,0,3,65
cluster_distilbert_default,0,textblob_sentiment,0.16073,0.5,3,65
cluster_use_default,4,bertweet_sentiment,0.15987,0.5,2,96
cluster_mpnet_dbcv,0,textblob_sentiment,0.15964,0.5,2,189
cluster_mpnet_default,0,textblob_sentiment,0.15957,0.5,2,91
cluster_minilm_default,3,textblob_sentiment,0.15852,0,3,53
cluster_use_default,8,textblob_sentiment,0.15766,0.5,3,108
cluster_distilbert_default,17,bertweet_sentiment,0.15658,2,1,73
cluster_minilm_default,23,textblob_sentiment,0.1563,0,1,59
cluster_use_default,10,textblob_sentiment,0.15627,1,1,89
cluster_mpnet_default,3,distilbert_sentiment,0.15601,0,2,56
